gene	NN3_S1	NN3_S2	NN3_S3	NN9_S4	NN9_S5	NN9_S6
ENSMUSG00000000001	219	307	417	279	751	580
ENSMUSG00000000028	11	13	16	21	35	30
ENSMUSG00000000031	0	2	0	0	3	0
ENSMUSG00000000037	11	6	11	9	16	11
ENSMUSG00000000049	3	4	1	1	6	1
ENSMUSG00000000056	307	442	487	356	927	657
ENSMUSG00000000058	180	233	244	189	491	397
ENSMUSG00000000078	223	297	358	264	612	508
ENSMUSG00000000085	278	318	350	232	609	542
ENSMUSG00000000088	658	903	859	721	2072	1520
ENSMUSG00000000093	9	17	13	16	26	27
ENSMUSG00000000094	2	2	3	1	5	3
ENSMUSG00000000120	8	7	12	19	23	33
ENSMUSG00000000125	4	19	13	13	32	33
ENSMUSG00000000126	55	69	97	51	109	68
ENSMUSG00000000127	141	157	206	150	404	263
ENSMUSG00000000131	536	702	775	585	1480	1293
ENSMUSG00000000134	239	335	344	222	577	527
ENSMUSG00000000142	98	163	207	96	291	192
ENSMUSG00000000148	127	170	179	132	299	239
ENSMUSG00000000149	270	428	412	321	791	699
ENSMUSG00000000154	1	4	5	3	6	4
ENSMUSG00000000157	0	0	0	0	0	0
ENSMUSG00000000159	5	5	3	2	7	6
ENSMUSG00000000167	8	8	13	11	26	18
ENSMUSG00000000168	654	835	890	734	1944	1634
ENSMUSG00000000171	552	699	850	693	1820	1327
ENSMUSG00000000182	2	4	3	5	8	13
ENSMUSG00000000184	359	690	689	482	1220	1026
ENSMUSG00000000194	289	367	457	324	755	632
ENSMUSG00000000197	937	867	1215	935	2309	1971
ENSMUSG00000000202	66	101	57	58	143	97
ENSMUSG00000000204	0	0	0	0	4	0
ENSMUSG00000000214	10	10	6	2	24	19
ENSMUSG00000000215	0	0	0	0	0	0
ENSMUSG00000000216	2	2	4	1	4	3
ENSMUSG00000000223	612	702	881	552	1391	1264
ENSMUSG00000000244	1	0	1	0	1	3
ENSMUSG00000000247	330	502	415	322	947	690
ENSMUSG00000000248	0	0	0	0	0	0
ENSMUSG00000000253	398	446	467	397	1064	867
ENSMUSG00000000263	0	1	1	0	2	3
ENSMUSG00000000266	185	192	264	242	571	437
ENSMUSG00000000275	35	42	53	46	92	79
ENSMUSG00000000276	543	590	732	523	1455	1210
ENSMUSG00000000278	86	109	137	74	185	169
ENSMUSG00000000282	273	282	353	286	866	676
ENSMUSG00000000290	32	34	50	37	95	84
ENSMUSG00000000295	66	83	91	85	222	168
ENSMUSG00000000296	104	176	197	195	476	341
ENSMUSG00000000301	9	6	12	16	31	21
ENSMUSG00000000303	6	10	2	2	0	13
ENSMUSG00000000305	100	87	122	96	199	208
ENSMUSG00000000308	1621	1689	2033	1626	4042	3382
ENSMUSG00000000317	12	12	20	20	76	81
ENSMUSG00000000318	1	3	1	0	4	2
ENSMUSG00000000320	6	4	12	2	10	5
ENSMUSG00000000325	145	236	249	175	455	389
ENSMUSG00000000326	355	583	648	439	1098	868
ENSMUSG00000000339	314	341	383	336	997	781
ENSMUSG00000000340	132	226	249	172	465	322
ENSMUSG00000000346	668	935	1134	896	2370	1791
ENSMUSG00000000355	220	315	335	287	805	516
ENSMUSG00000000359	3	2	5	1	7	4
ENSMUSG00000000365	9	8	13	4	23	12
ENSMUSG00000000374	683	773	1025	726	1839	1603
ENSMUSG00000000378	244	301	352	280	664	564
ENSMUSG00000000381	0	0	0	0	0	0
ENSMUSG00000000384	184	239	283	207	474	414
ENSMUSG00000000385	1	0	1	0	1	3
ENSMUSG00000000386	1	0	0	1	6	1
ENSMUSG00000000392	5	1	7	3	9	5
ENSMUSG00000000394	0	0	0	0	0	2
ENSMUSG00000000399	714	843	975	804	2246	1677
ENSMUSG00000000402	32	27	45	20	104	75
ENSMUSG00000000409	10	10	12	18	32	33
ENSMUSG00000000411	0	0	0	0	2	0
ENSMUSG00000000416	1528	1635	2506	1318	3655	2569
ENSMUSG00000000420	271	390	479	338	887	688
ENSMUSG00000000439	162	259	295	222	549	381
ENSMUSG00000000440	7	13	10	14	28	24
ENSMUSG00000000441	435	633	669	529	1287	1106
ENSMUSG00000000486	2	4	4	4	6	6
ENSMUSG00000000489	170	209	285	179	445	384
ENSMUSG00000000530	56	79	112	96	253	251
ENSMUSG00000000531	279	402	455	331	937	703
ENSMUSG00000000532	588	648	799	615	1476	1352
ENSMUSG00000000538	1948	2220	2795	2057	5120	4544
ENSMUSG00000000552	272	345	289	282	646	525
ENSMUSG00000000555	7	16	17	20	42	59
ENSMUSG00000000560	430	427	519	372	1000	728
ENSMUSG00000000561	402	461	557	455	1049	839
ENSMUSG00000000562	2	3	4	5	9	5
ENSMUSG00000000563	1083	1443	1639	1293	3565	2521
ENSMUSG00000000567	141	187	170	138	226	191
ENSMUSG00000000568	1081	1318	1435	1204	3016	2480
ENSMUSG00000000581	224	300	373	281	725	532
ENSMUSG00000000594	403	617	605	440	1184	894
ENSMUSG00000000600	318	391	466	339	906	634
ENSMUSG00000000617	0	0	0	0	0	0
ENSMUSG00000000627	286	349	443	355	855	692
ENSMUSG00000000628	38	50	76	51	146	140
ENSMUSG00000000631	1127	1428	1545	1150	2966	2668
ENSMUSG00000000632	1765	1622	1743	1454	3341	3514
ENSMUSG00000000673	0	1	1	2	2	3
ENSMUSG00000000682	10	7	11	16	18	15
ENSMUSG00000000686	3	7	10	6	35	26
ENSMUSG00000000693	23	47	49	38	61	53
ENSMUSG00000000706	0	2	0	0	2	4
ENSMUSG00000000708	122	172	189	143	418	294
ENSMUSG00000000711	697	890	1022	804	2159	1737
ENSMUSG00000000724	0	0	1	0	1	0
ENSMUSG00000000730	0	5	1	1	2	1
ENSMUSG00000000731	2	2	3	4	4	4
ENSMUSG00000000732	43	103	106	127	252	213
ENSMUSG00000000738	356	443	451	346	945	791
ENSMUSG00000000739	11	10	14	10	27	30
ENSMUSG00000000740	34	53	57	30	110	83
ENSMUSG00000000743	617	716	884	646	1743	1473
ENSMUSG00000000751	432	506	585	506	1210	991
ENSMUSG00000000753	36	93	79	39	126	120
ENSMUSG00000000759	274	339	384	301	750	594
ENSMUSG00000000766	8	3	10	11	15	14
ENSMUSG00000000776	93	138	144	112	289	255
ENSMUSG00000000782	9	8	17	17	39	41
ENSMUSG00000000787	1779	2008	2680	1993	5938	4479
ENSMUSG00000000791	3	8	3	4	6	16
ENSMUSG00000000792	174	186	164	188	375	374
ENSMUSG00000000794	122	123	184	99	343	294
ENSMUSG00000000804	986	1163	1418	1130	3025	2400
ENSMUSG00000000805	182	408	334	215	630	522
ENSMUSG00000000811	18	23	26	21	81	77
ENSMUSG00000000817	0	0	1	2	2	0
ENSMUSG00000000826	2238	2488	3295	2413	5942	5063
ENSMUSG00000000827	292	439	432	394	1039	788
ENSMUSG00000000838	455	563	595	502	1311	948
ENSMUSG00000000861	674	836	871	746	1725	1452
ENSMUSG00000000869	0	0	0	0	0	0
ENSMUSG00000000876	57	78	97	63	160	128
ENSMUSG00000000881	1480	2141	2496	1588	4361	3411
ENSMUSG00000000884	24	29	32	31	64	63
ENSMUSG00000000889	1	3	7	4	6	2
ENSMUSG00000000901	11	9	11	8	21	17
ENSMUSG00000000902	337	420	450	310	826	752
ENSMUSG00000000903	1	1	0	1	0	0
ENSMUSG00000000915	380	562	510	483	1006	987
ENSMUSG00000000916	67	97	103	76	160	125
ENSMUSG00000000934	137	137	130	98	296	273
ENSMUSG00000000957	97	125	102	72	207	203
ENSMUSG00000000958	14	18	23	12	17	23
ENSMUSG00000000959	239	332	397	290	710	658
ENSMUSG00000000976	145	173	189	128	310	278
ENSMUSG00000000982	1	4	0	2	2	2
ENSMUSG00000000983	0	3	7	4	6	7
ENSMUSG00000001014	6	7	10	2	23	12
ENSMUSG00000001016	523	728	902	652	1727	1348
ENSMUSG00000001017	871	1087	1236	974	2540	1912
ENSMUSG00000001018	237	364	451	338	928	728
ENSMUSG00000001020	5	14	17	15	41	25
ENSMUSG00000001021	1	3	1	0	2	6
ENSMUSG00000001023	0	0	0	0	1	0
ENSMUSG00000001025	38	68	82	53	172	133
ENSMUSG00000001027	0	0	2	0	2	0
ENSMUSG00000001029	11	21	32	16	53	28
ENSMUSG00000001034	121	187	218	141	317	248
ENSMUSG00000001036	918	1294	1656	1032	2695	2343
